team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
0.888889,1.0,12.83,12.5,1.9422,1.1022,3,5,1.65173,0.733115,2
2.0,0.6,11.33,16.17,1.245,4.4156,9,3,1.20987,2.0344,1
12.0,1.5,7.17,14.17,1.755,3.34,7,5,0.0,0.0,1
2.0,1.6,8.67,12.0,0.83,2.3316,12,6,1.30113,2.53106,2
0.333333,1.0,10.83,8.0,2.505,1.2261,7,7,1.62457,0.37945,2
1.0,8.0,11.17,7.17,1.7284,2.67,10,8,1.52941,2.51874,2
2.0,2.0,15.5,9.67,4.975,0.7772,4,11,4.10058,0.674989,2
0.333333,1.0,11.33,14.17,1.34,2.1228,7,6,1.63895,1.05511,2
0.8,0.5,16.5,15.83,1.3944,1.5,2,1,1.48404,0.729323,0
3.0,0.166667,8.83,9.83,0.9711,3.3366,7,3,0.0,0.0,1
1.0,1.33,15.43,11.0,2.7176,1.4706,5,8,1.75389,1.17199,0
0.188571,8.0,9.0,7.29,1.7,1.57,8,9,3.2834,2.05552,0
0.443333,12.0,11.29,11.0,3.8988,0.8514,3,11,2.81101,0.805868,0
1.33333,1.33143,15.43,13.0,1.8247,1.57,1,4,2.59515,1.35532,2
0.66,9.32,9.29,8.29,1.3392,1.938,12,13,1.43243,0.84019,0
0.264,0.556667,12.29,16.43,0.4902,1.72,7,2,0.497395,1.7287,2
0.668,1.32,11.86,12.0,3.8308,1.2996,6,11,2.35902,0.741452,1
6.68,0.188571,7.29,11.57,1.8513,2.4453,10,8,2.20237,2.57627,1
0.76,2.0,14.14,8.86,1.28,0.6106,7,9,0.731932,0.196962,0
0.443333,3.0,16.57,16.57,2.9555,2.627,3,5,3.93434,1.8138,2
1.71429,0.1,10.38,16.88,0.75,2.43,8,2,1.14705,2.60186,2
0.583333,5.0,11.75,7.88,3.2469,0.9944,1,12,5.07444,1.38455,2
1.33333,1.0,8.62,11.88,0.5625,2.235,11,5,0.912014,1.85044,0
1.0,0.2,7.75,9.88,2.0,2.2,11,12,1.0443,0.806695,1
1.0,1.28571,11.12,10.75,1.6362,3.0294,13,8,2.18252,4.17375,2
1.0,1.0,12.25,7.88,2.1056,1.5975,11,14,1.7756,0.763739,0
1.0,0.5,14.5,11.62,2.25,1.4125,3,9,3.09765,1.66061,0
1.71429,0.4,16.12,16.62,2.0944,1.25,1,7,3.25282,0.912327,2
1.66667,1.8,15.38,14.5,1.88,1.8256,4,6,0.701829,0.587007,0
0.8,0.8,8.11,11.67,0.67,3.7736,12,1,0.27489,1.75256,1
1.44,0.933333,14.67,7.67,2.088,1.1837,4,8,4.97772,1.43774,2
2.0,1.3,7.89,10.11,1.0241,1.6226,10,6,1.14719,0.963946,0
0.5,1.4,16.67,10.89,2.4048,0.5412,2,7,2.53786,0.443762,2
0.64,1.0,10.33,7.67,3.5136,1.2905,6,10,4.68994,1.27884,0
0.266667,2.4,11.11,15.78,1.12,2.4642,8,1,1.3692,2.28619,1
0.2,0.56,13.33,15.33,1.6348,2.9659,7,1,0.989158,1.21162,1
1.6,0.571429,10.56,12.89,2.755,0.9879,3,8,2.71101,0.567629,0
0.3,0.888889,15.67,15.22,1.22,1.8779,5,2,1.25476,1.25855,1
0.1,12.0,10.11,11.33,1.67,1.5753,9,11,1.43846,1.18719,0
0.936,5.32,10.3,7.7,2.4,0.98,7,12,2.66573,0.676385,1
1.17,6.68,7.7,12.8,1.28,1.82,8,8,1.33611,1.19694,0
1.864,0.664,16.0,8.4,2.651,0.81,1,9,2.95326,0.545497,2
0.285714,0.132,13.0,10.9,1.7,2.292,9,7,1.6076,1.63081,2
0.39,1.336,13.7,11.3,1.672,1.341,2,4,1.83381,1.31595,0
0.468,2.0,12.4,17.5,1.15,1.4,1,3,1.68191,2.24703,2
1.0,1.064,7.8,14.1,0.8,2.519,10,6,0.833684,1.74354,0
0.268,0.585,15.6,11.5,3.12,1.807,1,5,5.30786,1.68244,0
2.68,0.44,11.7,16.9,1.08,2.34,11,5,0.906739,1.40869,1
0.936,2.66,10.5,10.6,1.68,1.61,7,9,1.53248,1.25069,1
1.832,0.285,16.27,12.82,1.46,2.5724,5,3,0.86288,2.02338,2
1.0,1.33333,13.09,17.27,1.3195,3.9044,10,3,1.21351,3.171,1
2.57,2.28,10.45,11.27,2.5976,1.0829,5,12,2.57693,0.649526,2
1.29,0.744,14.36,16.55,1.3952,2.9757,8,1,1.02161,0.889833,2
0.172,1.0,10.91,11.45,1.711,1.9234,8,9,2.05258,1.49957,1
0.573333,1.33333,8.0,7.82,1.7658,1.729,12,11,2.79176,2.17967,0
0.491429,1.14,11.64,10.18,2.2331,2.0414,6,9,2.85356,1.38418,0
1.29,0.325714,17.0,12.64,2.4752,0.54,4,10,2.64348,0.424714,0
0.688,0.38,8.18,14.27,0.7371,2.5724,10,2,0.828531,2.15995,1
1.29,0.571429,10.64,8.0,1.507,1.36,8,7,2.23051,1.4264,0
0.502857,0.75,7.83,16.58,0.8464,3.5775,9,2,1.02549,1.91662,1
1.17333,0.833333,8.83,11.17,1.05,2.9925,13,7,0.623245,2.29664,2
1.0,0.6,10.33,8.5,1.2753,1.3778,11,12,1.3604,0.911736,2
0.852,0.166667,16.25,8.25,4.375,1.1716,2,14,6.02854,1.07934,0
1.0,1.0,10.83,12.67,1.61,2.6128,15,12,1.83176,3.49967,0
0.666667,1.5,14.25,16.92,1.5075,1.125,1,4,1.66479,1.12401,0
0.285714,0.428571,11.67,10.83,2.2578,1.7928,6,10,2.25906,1.13268,1
1.58667,2.25,12.33,11.17,2.7872,1.17,3,8,3.76233,1.24063,0
1.6,0.25,15.92,12.42,2.7122,1.2636,5,12,4.24141,1.4764,2
4.76,1.88,13.5,10.83,1.17,1.33,9,5,1.1937,0.692195,0
0.444,0.703333,16.77,14.0,1.7171,2.0516,2,1,1.783,1.62726,1
1.0,2.11,12.54,13.77,1.5066,2.01,14,8,1.49646,2.08551,0
0.571429,1.11,11.08,8.08,1.7388,1.3671,9,11,3.0054,1.25021,0
0.146667,2.44,8.15,10.38,1.5548,2.1771,16,12,2.42329,2.20992,0
1.688,0.56,16.62,11.23,2.94,0.9471,4,15,2.57328,0.640549,0
0.634286,0.52,11.08,11.54,2.093,1.6113,8,7,2.58437,1.659,0
3.34,1.11,12.08,12.46,1.08,3.9775,13,3,0.648104,2.15405,1
1.04,0.888,11.0,17.0,1.2412,3.6309,10,2,1.30969,2.23683,0
1.67,0.74,10.85,16.23,1.4268,1.587,6,5,1.39198,0.581699,2
0.624,0.78,8.38,8.92,1.978,0.9775,13,14,2.90748,1.12616,0
3.06667,3.6,11.71,10.86,1.4592,2.0691,8,6,1.91873,1.31561,0
1.15,0.685714,12.93,11.14,3.186,1.15,2,7,3.74852,1.26189,0
1.46667,0.133333,8.36,11.0,1.3345,2.244,11,8,1.35729,1.21885,0
0.7,1.46667,8.79,12.21,1.4694,3.5604,14,11,1.15292,3.22476,2
0.5,0.0888889,10.57,8.86,1.9494,2.2321,15,14,2.33099,1.57812,0
4.8,0.571429,10.86,16.64,1.3054,3.6765,12,3,1.39002,2.41661,0
0.733333,0.4,13.79,11.14,2.7588,1.1154,1,6,2.47693,1.08414,0
0.333333,1.14286,15.86,17.43,0.9585,1.978,5,4,1.63762,2.02977,0
0.7,0.8,13.71,9.0,0.9951,0.9951,9,10,0.973929,0.58514,0
1.31429,2.4,16.57,12.0,5.1957,1.3696,3,13,8.1382,1.49635,2
0.786667,1.09,11.4,10.87,2.422,2.324,10,12,3.47889,2.40334,0
3.28,0.872,10.67,13.47,1.27,3.048,8,2,0.999462,1.5283,0
1.0,1.888,8.87,16.67,1.1524,2.6429,13,3,1.26302,1.52929,1
0.3,0.756667,8.93,13.73,0.6862,3.96,16,1,0.884986,3.95717,1
3.82,1.69333,11.8,8.67,1.8758,2.07,14,11,2.66404,1.76128,0
